"SubNum","trial_n_block","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","corr_ans","trialNum","trialNbychar","listN","NfromChange","befAft","is_prev_optimal","isoptimal","probOptimal","probOptimalChar","iCP","iCP_opt","iCP_new","trialCond","image","recogAcc","confidence","association","RTrecog","corr_ans_assoc"
1,2,"m2",2,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.5,0.5,1,0.518,2,21,1,2,2,0,0,1,0.75,0.75,"afterCP","afterCP",NA,1,"swimgoggles.jpg",1,4,NA,0.817,NA
1,4,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.5,0.5,0.333333333333333,0.913,2,23,3,2,4,0,0,1,0.75,0.5,"afterCP","afterCP",NA,1,"adjustablewrench01b.jpg",NA,NA,NA,0.817,NA
1,6,"m2",1,"stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item",0,0.333333333333333,0.333333333333333,0.333333333333333,1.119,4,25,3,2,6,0,0,0,0.5,0.75,"afterCP","afterCP",NA,1,"patioumbrella.jpg",1,4,NA,0.897,NA
1,9,"m2",1,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.333333333333333,0.333333333333333,0.5,0.738,1,28,4,2,9,0,0,1,0.75,1,"afterCP","beforeCP",NA,1,"baseball01a.jpg",1,3,"left",0.828,1
1,10,"m2",4,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.4,0.4,0.6,0.978,4,29,5,2,10,0,0,1,0.75,1,"afterCP","beforeCP",NA,1,"bikehelmet.jpg",1,2,"left",1.065,1
1,11,"m2",2,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.454545454545455,0.454545454545455,0.666666666666667,0.954,2,30,6,2,11,0,0,1,0.75,0.75,"afterCP","beforeCP",NA,1,"canoepaddle02.jpg",1,4,"left",0.819,1
1,12,"m5",1,"stimuli/Electronic device & accessory.png","Hand labour tool & accessory",0,0.416666666666667,0.416666666666667,0.166666666666667,0.583,3,31,6,2,12,0,0,0,0.75,0.5,"afterCP","beforeCP",NA,1,"leafrake.jpg",NA,NA,NA,0.817,NA
1,13,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.461538461538462,0.461538461538462,0.285714285714286,1.262,2,32,7,2,13,0,0,1,0.75,0.75,"afterCP","beforeCP",NA,1,"lawnmower.jpg",NA,NA,NA,0.817,NA
1,14,"m2",2,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.5,0.5,0.714285714285714,1.416,2,33,7,2,14,0,0,1,0.75,0.5,"afterCP","beforeCP",NA,1,"reflector.jpg",1,4,NA,0.859,NA
1,17,"m5",3,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.529411764705882,0.529411764705882,0.375,1.069,3,36,8,2,17,0,0,1,0.5,0.5,"afterCP","beforeCP",NA,1,"pliers02b.jpg",1,2,NA,0.813,NA
1,19,"m2",3,"stimuli/Kitchen & utensil.png","Outdoor activity & sport item",0,0.526315789473684,0.526315789473684,0.6,1.099,2,38,10,2,19,0,0,0,0.5,0.5,"afterCP","beforeCP",NA,1,"boatmotor.jpg",1,3,NA,1.612,NA
1,20,"m5",1,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.55,0.55,0.5,0.653,1,39,10,2,20,0,0,1,0.5,0.75,"beforeCP","beforeCP",NA,1,"drillbit03a.jpg",NA,NA,NA,0.817,NA
1,21,"m2",3,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.571428571428571,0.571428571428571,0.636363636363636,0.596,3,40,11,2,21,0,0,1,0.5,0.5,"beforeCP","beforeCP",NA,1,"lifesaver.jpg",NA,NA,NA,0.817,NA
1,22,"m5",1,"stimuli/Electronic device & accessory.png","Hand labour tool & accessory",0,0.545454545454545,0.545454545454545,0.454545454545455,0.56,4,41,11,2,22,0,0,0,0.5,0.75,"afterCP","beforeCP",NA,1,"tape02a.jpg",NA,NA,NA,0.817,NA
1,23,"m2",2,"stimuli/Kitchen & utensil.png","Outdoor activity & sport item",0,0.521739130434783,0.521739130434783,0.583333333333333,0.838,4,42,12,2,23,0,0,0,0.75,0.5,"afterCP","beforeCP",NA,1,"ellipticalmachine.jpg",NA,NA,NA,0.817,NA
1,24,"m5",3,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.541666666666667,0.541666666666667,0.5,0.606,3,43,12,2,24,0,0,1,1,1,"afterCP","beforeCP",NA,1,"wheelbarrow01.jpg",1,3,"right",0.964,1
1,26,"m5",1,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.538461538461539,0.538461538461539,0.538461538461539,0.552,1,45,13,2,26,1,0,1,0.75,1,"afterCP","beforeCP",NA,1,"boltcutter.jpg",1,3,"left",0.911,0
1,27,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.555555555555556,0.555555555555556,0.571428571428571,0.651,2,46,14,2,27,1,0,1,0.75,1,"beforeCP","beforeCP",NA,1,"gluetube.jpg",NA,NA,NA,0.817,NA
1,28,"m2",3,"stimuli/Electronic device & accessory.png","Outdoor activity & sport item",0,0.535714285714286,0.535714285714286,0.5,0.758,4,47,14,2,28,1,0,0,0.75,0.75,"afterCP","beforeCP",NA,1,"volleyball.jpg",1,1,NA,2.104,NA
1,29,"m2",3,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.551724137931034,0.551724137931034,0.533333333333333,1.592,3,48,15,2,29,1,0,1,1,0.75,"beforeCP","beforeCP",NA,1,"sportbag.jpg",NA,NA,NA,0.817,NA
1,30,"m2",2,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.566666666666667,0.566666666666667,0.5625,0.601,2,49,16,2,30,1,0,1,1,0.75,"beforeCP","beforeCP",NA,1,"hockeygoaliemask.jpg",0,2,NA,0.972,NA
1,31,"m5",4,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.580645161290323,0.580645161290323,0.6,0.832,4,50,15,2,31,1,0,1,1,1,"beforeCP","beforeCP",NA,1,"pressurewasher.jpg",1,2,"left",1.196,0
1,32,"m5",1,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.59375,0.59375,0.625,0.78,1,51,16,2,32,1,0,1,1,1,"beforeCP","beforeCP",NA,1,"saw02b.jpg",1,2,NA,0.829,NA
1,34,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.588235294117647,0.588235294117647,0.647058823529412,0.641,2,53,17,2,34,1,0,1,0.75,1,"beforeCP","beforeCP",NA,1,"wheel01.jpg",1,3,NA,1.695,NA
1,35,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.6,0.6,0.666666666666667,0.675,2,54,18,2,35,1,0,1,0.75,1,"beforeCP","beforeCP",NA,1,"puttyknife.jpg",NA,NA,NA,0.817,NA
1,37,"m2",4,"stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item",0,0.567567567567568,0.567567567567568,0.5,1.569,1,56,18,2,37,1,0,0,0.75,0.75,"beforeCP","beforeCP",NA,1,"exercisebike.jpg",NA,NA,NA,0.817,NA
